system:index,ET
2002_09_14,140.9022347106328
2002_09_22,94.9891391391523
2002_09_30,90.77479943583732
2002_10_08,67.95140743300554
2002_10_16,63.28925494184072
2002_10_24,58.67975730642231
2002_11_01,40.54914237970704
2002_11_09,31.346538670130663
2002_11_17,28.95546263051102
2002_11_25,26.9041847930677
2002_12_03,30.26632788870069
2002_12_11,19.16882520620817
2002_12_19,18.97857903354133
2002_12_27,15.062072250027398
2003_01_01,31.80119189510477
2003_01_09,22.407622865676643
2003_01_17,24.707500221377998
2003_01_25,30.16578881255115
2003_02_02,26.79403286156465
2003_02_10,40.123046039457904
2003_02_18,53.38204885977516
2003_02_26,67.44150591273596
2003_03_06,74.22135548850464
2003_03_14,66.4788473566554
2003_03_22,92.52733232330671
2003_03_30,87.89352001664024
2003_04_07,78.04570647201405
2003_04_15,121.8531548566322
2003_04_23,149.53880953735046
2003_05_01,217.7679941322912
2003_05_09,186.4487304519532
2003_05_17,205.2857417035411
2003_05_25,287.37637737052296
2003_06_02,316.09710985997174
2003_06_10,312.0903804816156
2003_06_18,291.48360671362826
2003_06_26,238.58117860226352
2003_07_04,256.51138110005473
2003_07_12,240.74700740653998
2003_07_20,204.7310553964685
2003_07_28,227.0858481486767
2003_08_05,153.7913740315172
2003_08_13,141.7128857402137
2003_08_21,158.95751310887417
2003_08_29,127.60597992484311
2003_09_06,143.29777048541422
2003_09_14,147.98448689319932
2003_09_22,112.77809020606654
2003_09_30,78.30637874720574
2003_10_08,67.1245968739051
2003_10_16,45.894909004397164
2003_10_24,35.61991348863942
2003_11_01,46.67054138468508
2003_11_09,33.28577095488506
2003_11_17,36.417367287359326
2003_11_25,26.210019672719497
2003_12_03,28.311688726937064
2003_12_11,24.38823475146973
2003_12_19,27.296445435611506
2003_12_27,15.972243334758897
2004_01_01,21.288198989490446
2004_01_09,26.781961051611926
2004_01_17,33.66189723091152
2004_01_25,26.219738715037952
2004_02_02,43.98547774587748
2004_02_10,45.78114972096106
2004_02_18,41.314052767386784
2004_02_26,50.50823900313443
2004_03_05,50.21818713518282
2004_03_13,86.84633686199626
2004_03_21,74.35846541982278
2004_03_29,108.04931630055978
2004_04_06,103.7344230132951
2004_04_14,132.04759463311578
2004_04_22,157.93041786151497
2004_04_30,159.91730773237404
2004_05_08,185.03792638502134
2004_05_16,262.1598778965068
2004_05_24,259.5242190310778
2004_06_01,245.7442391819672
2004_06_09,267.2407715244489
2004_06_17,244.95170053786623
2004_06_25,239.894055186975
2004_07_03,213.36106828659737
2004_07_11,225.41059285767406
2004_07_19,240.21821343299604
2004_07_27,246.8994302908058
2004_08_04,179.26371756521868
2004_08_12,189.4736083577998
2004_08_20,182.68334554458875
2004_08_28,190.58893074089696
2004_09_05,190.76642536220567
2004_09_13,133.89118870758384
2004_09_21,110.55207247806895
2004_09_29,101.8519303673838
2004_10_07,69.17901736097748
2004_10_15,51.62190217775782
2004_10_23,59.14097853768181
2004_10_31,42.02684141822141
2004_11_08,33.30361682902034
2004_11_16,23.023627898209334
2004_11_24,24.37340464240543
2004_12_02,24.589668282081433
2004_12_10,21.932162769712384
2004_12_18,18.0845964357709
2004_12_26,15.03090330412094
2005_01_01,20.114144357607753
2005_01_09,27.586353132209666
2005_01_17,28.547572878001652
2005_01_25,33.54480436206907
2005_02_02,36.75937551761203
2005_02_10,33.50359074003961
2005_02_18,41.49823817296593
2005_02_26,50.606810451226316
2005_03_06,59.71737197766102
2005_03_14,103.37923404129266
2005_03_22,113.2593617416162
2005_03_30,112.86300508038812
2005_04_07,117.3579039206162
2005_04_15,124.90607023204552
2005_04_23,170.83291671416
2005_05_01,190.16436568097154
2005_05_09,167.90157613675643
2005_05_17,222.378201621771
